""|"Contraintes (fonctionnement, dur&eacute;e de vie, s&eacute;curit&eacute;, esth&eacute;tique, ergonomie, environnement, d&eacute;veloppement durable, aspects &eacute;conomiques budget et co&ucirc;t) :"|"&eacute;valuer le co&ucirc;t d&apos;une solution technique et d&apos;un objet technique dans le cadre d&apos;une r&eacute;alisation au coll&egrave;ge."|"2"|"1"|"4"
""|"Cahier des charges simplifi&eacute;."|"R&eacute;diger ou compl&eacute;ter un cahier des charges simplifi&eacute; de l&apos;objet technique."|"2"|"1"|"4"
""|"Solution technique."|"Proposer des solutions techniques diff&eacute;rentes qui r&eacute;alisent une m&ecirc;me fonction."|"3"|"1"|"4"
""|"Solution technique."|"Valider une solution technique propos&eacute;e."|"3"|"1"|"4"
""|"Solution technique."|"Choisir et r&eacute;aliser une ou plusieurs solutions techniques permettant de r&eacute;aliser une fonction donn&eacute;e."|"3"|"1"|"4"
""|"Repr&eacute;sentation structurelle.Mod&eacute;lisation du r&eacute;el."|"R&eacute;aliser un sch&eacute;ma, un dessin scientifique ou technique par une repr&eacute;sentation num&eacute;rique &agrave; l&apos;aide d&apos;un logiciel de conception assist&eacute;e par ordinateur, en respectant les conventions."|"3"|"1"|"4"
""|"Planification, ant&eacute;riorit&eacute;, chronologie des op&eacute;rations"|"G&eacute;rer l&apos;organisation et la coordination du projet."|"3"|"1"|"4"
""|"Crit&egrave;res de choix d&apos;un mat&eacute;riau pour une solution technique donn&eacute;e."|"Identifier les relations principales entre solutions, mat&eacute;riaux et proc&eacute;d&eacute;s de r&eacute;alisation."|"2"|"2"|"4"
""|"La mise en forme des mat&eacute;riaux."|"Identifier quelques proc&eacute;d&eacute;s permettant de mettre en forme le mat&eacute;riau au niveau industriel et au niveau artisanal."|"1"|"2"|"4"
""|"M&eacute;thodologie de choix de mat&eacute;riaux"|"Identifier les propri&eacute;t&eacute;s pertinentes des mat&eacute;riaux &agrave; prendre en compte pour r&eacute;pondre aux contraintes du cahier des charges."|"1"|"2"|"4"
""|"M&eacute;thodologie de choix de mat&eacute;riaux"|"Hi&eacute;rarchiser les propri&eacute;t&eacute;s."|"2"|"2"|"4"
""|"M&eacute;thodologie de choix de mat&eacute;riaux"|"Choisir un mat&eacute;riau dans une liste fournie en fonction d&apos;un crit&egrave;re d&eacute;fini dans le cahier des charges."|"3"|"2"|"4"
""|"Origine des mati&egrave;res premi&egrave;res et disponibilit&eacute; des mat&eacute;riaux."|"Identifier l&apos;origine des mati&egrave;res premi&egrave;res et leur disponibilit&eacute;."|"3"|"2"|"4"
""|"Origine des mati&egrave;res premi&egrave;res et disponibilit&eacute; des mat&eacute;riaux."|"Identifier l&apos;impact d&apos;une transformation et d&apos;un recyclage en terme de d&eacute;veloppement durable."|"2"|"2"|"4"
""|"Caract&eacute;ristiques d&apos;une source d&apos;&eacute;nergie. Crit&egrave;res de choix &eacute;nerg&eacute;tiques."|"Identifier les caract&eacute;ristiques de diff&eacute;rentes sources d&apos;&eacute;nergie possibles pour l&apos;objet technique."|"2"|"3"|"4"
""|"Caract&eacute;ristiques d&apos;une source d&apos;&eacute;nergie. Crit&egrave;res de choix &eacute;nerg&eacute;tiques."|"Choisir, pour une application donn&eacute;e, une &eacute;nergie adapt&eacute;e au besoin."|"3"|"3"|"4"
""|"Sources et disponibilit&eacute;s des ressources &eacute;nerg&eacute;tiques (fossile, nucl&eacute;aire, renouvelables)"|"Identifier les grandes familles de sources d&apos;&eacute;nergies."|"1"|"3"|"4"
""|"Impact sur l&apos;environnement (d&eacute;gradation de l&apos;air, de l&apos;eau et du sol.)"|"Indiquer le caract&egrave;re plus ou moins polluant de la source d&apos;&eacute;nergie utilis&eacute;e pour le fonctionnement de l&apos;objet technique."|"2"|"3"|"4"
""|"Dur&eacute;e de vie. Cycle de vie d&apos;un objet technique."|"Rep&eacute;rer pour un objet technique donn&eacute;, sa dur&eacute;e de vie et les conditions r&eacute;elles ou imagin&eacute;es de sa disparition "|"1"|"4"|"4"
""|"Progr&egrave;s technique, inventions et innovations, d&eacute;veloppement durable."|"Situer dans le temps les inventions en rapport avec l&apos;objet technique &eacute;tudi&eacute;."|"2"|"4"|"4"
""|"Progr&egrave;s technique, inventions et innovations, d&eacute;veloppement durable."|"Rep&eacute;rer le ou les progr&egrave;s apport&eacute;s par cet objet."|"2"|"4"|"4"
""|"Progr&egrave;s technique, inventions et innovations, d&eacute;veloppement durable."|"Rep&eacute;rer dans un objet technique donn&eacute; une ou des &eacute;volutions dans les principes techniques de construction (mat&eacute;riaux, &eacute;nergies, structures, design, proc&eacute;d&eacute;s)."|"2"|"4"|"4"
""|"Progr&egrave;s technique, inventions et innovations, d&eacute;veloppement durable."|"Rep&eacute;rer les &eacute;poques et identifier les mesures qui ont entrain&eacute; l&apos;homme &agrave; prendre conscience de la protection de l&apos;environnement."|"1"|"4"|"4"
""|"Veille technologique."|"Organiser une veille technologique."|"1"|"4"|"4"
""|"Messageries diverses, flux audio ou vid&eacute;o."|"Choisir un mode de dialogue ou de diffusion adapt&eacute; &agrave; un besoin de communication "|"2"|"5"|"4"
""|"Outils de travail collaboratif : liste de diffusion, forum, blog,partage de documents, partage d&apos;applications. Planification, calendrier. Identit&eacute; num&eacute;rique, mot de passe, identifiant."|"Choisir et utiliser les services ou les outils adapt&eacute;s aux t&acirc;ches &agrave; r&eacute;aliser dans un travail de groupe ou pour un travail collaboratif."|"2"|"5"|"4"
""|"Outils de travail collaboratif : liste de diffusion, forum, blog,partage de documents, partage d&apos;applications. Planification, calendrier. Identit&eacute; num&eacute;rique, mot de passe, identifiant."|"Rechercher l&apos;information utile dans le plan d&apos;actions, le suivi des modifications et la planification des travaux &agrave; livrer."|"3"|"5"|"4"
""|"Outils de travail collaboratif : liste de diffusion, forum, blog,partage de documents, partage d&apos;applications. Planification, calendrier. Identit&eacute; num&eacute;rique, mot de passe, identifiant."|"G&eacute;rer son espace num&eacute;rique : structure des donn&eacute;es, espace m&eacute;moire, sauvegarde et versions, droits d&apos;acc&egrave;s aux documents num&eacute;riques."|"3"|"5"|"4"
""|"Document multim&eacute;dia. Nature et caract&eacute;ristiques des documents multim&eacute;dias."|"Distinguer les diff&eacute;rents types de documents multim&eacute;dias en fonction de	leurs usages."|"1"|"5"|"4"
""|"Document multim&eacute;dia. Nature et caract&eacute;ristiques des documents multim&eacute;dias."|"Choisir et justifier un format de fichier pour r&eacute;aliser un document multim&eacute;dia."|"2"|"5"|"4"
""|"Document multim&eacute;dia. Nature et caract&eacute;ristiques des documents multim&eacute;dias."|"Cr&eacute;er et sc&eacute;nariser un document multim&eacute;dia en r&eacute;ponse &agrave; un projet de publication, mobilisant plusieurs m&eacute;dias."|"3"|"5"|"4"
""|"Propri&eacute;t&eacute;s des mat&eacute;riaux et proc&eacute;d&eacute;s de r&eacute;alisation."|"Justifier le choix d&apos;un mat&eacute;riau au regard de contraintes de r&eacute;alisation."|"2"|"6"|"4"
""|"Contraintes li&eacute;es aux proc&eacute;d&eacute;s et modes de r&eacute;alisation. Contraintes li&eacute;es aux proc&eacute;d&eacute;s de contr&ocirc;le et de validation."|"&eacute;noncer les contraintes li&eacute;es &agrave; la mise en oeuvre d&apos;un proc&eacute;d&eacute; de r&eacute;alisation et notamment celle li&eacute;es &agrave; la s&eacute;curit&eacute;."|"3"|"6"|"4"
""|"Contraintes li&eacute;es aux proc&eacute;d&eacute;s et modes de r&eacute;alisation. Contraintes li&eacute;es aux proc&eacute;d&eacute;s de contr&ocirc;le et de validation."|"R&eacute;diger les consignes relatives &agrave; la s&eacute;curit&eacute; dans une fiche de proc&eacute;dure d&apos;une op&eacute;ration. "|"3"|"6"|"4"
""|"Contraintes li&eacute;es aux proc&eacute;d&eacute;s et modes de r&eacute;alisation. Contraintes li&eacute;es aux proc&eacute;d&eacute;s de contr&ocirc;le et de validation."|"D&eacute;finir &agrave; l&apos;avance les contr&ocirc;les &agrave; effectuer pour toute op&eacute;ration de fabrication ou d&apos;assemblage."|"3"|"6"|"4"
""|"Planning de r&eacute;alisation. Processus de r&eacute;alisation. Ant&eacute;riorit&eacute;s et ordonnancement"|"Cr&eacute;er le planning de r&eacute;alisation du prototype."|"3"|"6"|"4"
""|"Planning de r&eacute;alisation. Processus de r&eacute;alisation. Ant&eacute;riorit&eacute;s et ordonnancement"|"Concevoir le processus de r&eacute;alisation."|"3"|"6"|"4"
""|"Planning de r&eacute;alisation. Processus de r&eacute;alisation. Ant&eacute;riorit&eacute;s et ordonnancement"|"Conduire la r&eacute;alisation du prototype."|"3"|"6"|"4"
